sample_id,audio_path,stress_label,stress_level,speaker_id,split,language,assignment_id,recording_device,environment,transcript,notes
03a01Fa,C:/Project/AI-STRESS-DETECTOR/data/public/emodb/wav/03a01Fa.wav,moderate,1,speaker_03,train,de,emodb_a01,studio,controlled,Der Lappen liegt auf dem Eisschrank.,emodb_emotion=happiness; variation=a
03a01Nc,C:/Project/AI-STRESS-DETECTOR/data/public/emodb/wav/03a01Nc.wav,low,0,speaker_03,train,de,emodb_a01,studio,controlled,Der Lappen liegt auf dem Eisschrank.,emodb_emotion=neutral; variation=c
03a01Wa,C:/Project/AI-STRESS-DETECTOR/data/public/emodb/wav/03a01Wa.wav,severe,3,speaker_03,train,de,emodb_a01,studio,controlled,Der Lappen liegt auf dem Eisschrank.,emodb_emotion=anger; variation=a
03a02Fc,C:/Project/AI-STRESS-DETECTOR/data/public/emodb/wav/03a02Fc.wav,moderate,1,speaker_03,train,de,emodb_a02,studio,controlled,Das will sie am Mittwoch abgeben.,emodb_emotion=happiness; variation=c
03a02Nc,C:/Project/AI-STRESS-DETECTOR/data/public/emodb/wav/03a02Nc.wav,low,0,speaker_03,train,de,emodb_a02,studio,controlled,Das will sie am Mittwoch abgeben.,emodb_emotion=neutral; variation=c
03a02Ta,C:/Project/AI-STRESS-DETECTOR/data/public/emodb/wav/03a02Ta.wav,moderate,1,speaker_03,train,de,emodb_a02,studio,controlled,Das will sie am Mittwoch abgeben.,emodb_emotion=sadness; variation=a
03a02Wb,C:/Project/AI-STRESS-DETECTOR/data/public/emodb/wav/03a02Wb.wav,severe,3,speaker_03,train,de,emodb_a02,studio,controlled,Das will sie am Mittwoch abgeben.,emodb_emotion=anger; variation=b
03a02Wc,C:/Project/AI-STRESS-DETECTOR/data/public/emodb/wav/03a02Wc.wav,severe,3,speaker_03,train,de,emodb_a02,studio,controlled,Das will sie am Mittwoch abgeben.,emodb_emotion=anger; variation=c
03a04Ad,C:/Project/AI-STRESS-DETECTOR/data/public/emodb/wav/03a04Ad.wav,high,2,speaker_03,train,de,emodb_a04,studio,controlled,Heute abend koennte ich es ihm sagen.,emodb_emotion=fear; variation=d
03a04Fd,C:/Project/AI-STRESS-DETECTOR/data/public/emodb/wav/03a04Fd.wav,moderate,1,speaker_03,train,de,emodb_a04,studio,controlled,Heute abend koennte ich es ihm sagen.,emodb_emotion=happiness; variation=d
03a04Lc,C:/Project/AI-STRESS-DETECTOR/data/public/emodb/wav/03a04Lc.wav,low,0,speaker_03,train,de,emodb_a04,studio,controlled,Heute abend koennte ich es ihm sagen.,emodb_emotion=boredom; variation=c
03a04Nc,C:/Project/AI-STRESS-DETECTOR/data/public/emodb/wav/03a04Nc.wav,low,0,speaker_03,train,de,emodb_a04,studio,controlled,Heute abend koennte ich es ihm sagen.,emodb_emotion=neutral; variation=c
03a04Ta,C:/Project/AI-STRESS-DETECTOR/data/public/emodb/wav/03a04Ta.wav,moderate,1,speaker_03,train,de,emodb_a04,studio,controlled,Heute abend koennte ich es ihm sagen.,emodb_emotion=sadness; variation=a
03a04Wc,C:/Project/AI-STRESS-DETECTOR/data/public/emodb/wav/03a04Wc.wav,severe,3,speaker_03,train,de,emodb_a04,studio,controlled,Heute abend koennte ich es ihm sagen.,emodb_emotion=anger; variation=c
03a05Aa,C:/Project/AI-STRESS-DETECTOR/data/public/emodb/wav/03a05Aa.wav,high,2,speaker_03,train,de,emodb_a05,studio,controlled,Das schwarze Blatt Papier befindet sich da oben neben dem Holzstueck.,emodb_emotion=fear; variation=a
03a05Fc,C:/Project/AI-STRESS-DETECTOR/data/public/emodb/wav/03a05Fc.wav,moderate,1,speaker_03,train,de,emodb_a05,studio,controlled,Das schwarze Blatt Papier befindet sich da oben neben dem Holzstueck.,emodb_emotion=happiness; variation=c
03a05Nd,C:/Project/AI-STRESS-DETECTOR/data/public/emodb/wav/03a05Nd.wav,low,0,speaker_03,train,de,emodb_a05,studio,controlled,Das schwarze Blatt Papier befindet sich da oben neben dem Holzstueck.,emodb_emotion=neutral; variation=d
