sample_id,audio_path,stress_label,stress_level,speaker_id,split,language,assignment_id,recording_device,environment,transcript,notes
03-01-01-01-01-01-01,C:/Project/AI-STRESS-DETECTOR/data/public/ravdess_16k/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-01-01-01-01-01.wav,low,0,actor_01,train,en,ravdess_statement_01,studio,controlled,Kids are talking by the door.,ravdess_emotion=neutral; intensity=normal; repetition=01
03-01-01-01-01-02-01,C:/Project/AI-STRESS-DETECTOR/data/public/ravdess_16k/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-01-01-01-02-01.wav,low,0,actor_01,train,en,ravdess_statement_01,studio,controlled,Kids are talking by the door.,ravdess_emotion=neutral; intensity=normal; repetition=02
03-01-01-01-02-01-01,C:/Project/AI-STRESS-DETECTOR/data/public/ravdess_16k/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-01-01-02-01-01.wav,low,0,actor_01,train,en,ravdess_statement_02,studio,controlled,Dogs are sitting by the door.,ravdess_emotion=neutral; intensity=normal; repetition=01
03-01-01-01-02-02-01,C:/Project/AI-STRESS-DETECTOR/data/public/ravdess_16k/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-01-01-02-02-01.wav,low,0,actor_01,train,en,ravdess_statement_02,studio,controlled,Dogs are sitting by the door.,ravdess_emotion=neutral; intensity=normal; repetition=02
03-01-02-01-01-01-01,C:/Project/AI-STRESS-DETECTOR/data/public/ravdess_16k/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-02-01-01-01-01.wav,low,0,actor_01,train,en,ravdess_statement_01,studio,controlled,Kids are talking by the door.,ravdess_emotion=calm; intensity=normal; repetition=01
03-01-02-01-01-02-01,C:/Project/AI-STRESS-DETECTOR/data/public/ravdess_16k/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-02-01-01-02-01.wav,low,0,actor_01,train,en,ravdess_statement_01,studio,controlled,Kids are talking by the door.,ravdess_emotion=calm; intensity=normal; repetition=02
03-01-02-01-02-01-01,C:/Project/AI-STRESS-DETECTOR/data/public/ravdess_16k/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-02-01-02-01-01.wav,low,0,actor_01,train,en,ravdess_statement_02,studio,controlled,Dogs are sitting by the door.,ravdess_emotion=calm; intensity=normal; repetition=01
03-01-02-01-02-02-01,C:/Project/AI-STRESS-DETECTOR/data/public/ravdess_16k/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-02-01-02-02-01.wav,low,0,actor_01,train,en,ravdess_statement_02,studio,controlled,Dogs are sitting by the door.,ravdess_emotion=calm; intensity=normal; repetition=02
03-01-02-02-01-01-01,C:/Project/AI-STRESS-DETECTOR/data/public/ravdess_16k/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-02-02-01-01-01.wav,moderate,1,actor_01,train,en,ravdess_statement_01,studio,controlled,Kids are talking by the door.,ravdess_emotion=calm; intensity=strong; repetition=01
03-01-02-02-01-02-01,C:/Project/AI-STRESS-DETECTOR/data/public/ravdess_16k/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-02-02-01-02-01.wav,moderate,1,actor_01,train,en,ravdess_statement_01,studio,controlled,Kids are talking by the door.,ravdess_emotion=calm; intensity=strong; repetition=02
03-01-02-02-02-01-01,C:/Project/AI-STRESS-DETECTOR/data/public/ravdess_16k/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-02-02-02-01-01.wav,moderate,1,actor_01,train,en,ravdess_statement_02,studio,controlled,Dogs are sitting by the door.,ravdess_emotion=calm; intensity=strong; repetition=01
03-01-02-02-02-02-01,C:/Project/AI-STRESS-DETECTOR/data/public/ravdess_16k/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-02-02-02-02-01.wav,moderate,1,actor_01,train,en,ravdess_statement_02,studio,controlled,Dogs are sitting by the door.,ravdess_emotion=calm; intensity=strong; repetition=02
03-01-03-01-01-01-01,C:/Project/AI-STRESS-DETECTOR/data/public/ravdess_16k/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-03-01-01-01-01.wav,moderate,1,actor_01,train,en,ravdess_statement_01,studio,controlled,Kids are talking by the door.,ravdess_emotion=happy; intensity=normal; repetition=01
03-01-03-01-01-02-01,C:/Project/AI-STRESS-DETECTOR/data/public/ravdess_16k/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-03-01-01-02-01.wav,moderate,1,actor_01,train,en,ravdess_statement_01,studio,controlled,Kids are talking by the door.,ravdess_emotion=happy; intensity=normal; repetition=02
03-01-03-01-02-01-01,C:/Project/AI-STRESS-DETECTOR/data/public/ravdess_16k/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-03-01-02-01-01.wav,moderate,1,actor_01,train,en,ravdess_statement_02,studio,controlled,Dogs are sitting by the door.,ravdess_emotion=happy; intensity=normal; repetition=01
03-01-03-01-02-02-01,C:/Project/AI-STRESS-DETECTOR/data/public/ravdess_16k/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-03-01-02-02-01.wav,moderate,1,actor_01,train,en,ravdess_statement_02,studio,controlled,Dogs are sitting by the door.,ravdess_emotion=happy; intensity=normal; repetition=02
03-01-03-02-01-01-01,C:/Project/AI-STRESS-DETECTOR/data/public/ravdess_16k/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-03-02-01-01-01.wav,moderate,1,actor_01,train,en,ravdess_statement_01,studio,controlled,Kids are talking by the door.,ravdess_emotion=happy; intensity=strong; repetition=01
03-01-03-02-01-02-01,C:/Project/AI-STRESS-DETECTOR/data/public/ravdess_16k/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-03-02-01-02-01.wav,moderate,1,actor_01,train,en,ravdess_statement_01,studio,controlled,Kids are talking by the door.,ravdess_emotion=happy; intensity=strong; repetition=02
03-01-03-02-02-01-01,C:/Project/AI-STRESS-DETECTOR/data/public/ravdess_16k/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-03-02-02-01-01.wav,moderate,1,actor_01,train,en,ravdess_statement_02,studio,controlled,Dogs are sitting by the door.,ravdess_emotion=happy; intensity=strong; repetition=01
03-01-03-02-02-02-01,C:/Project/AI-STRESS-DETECTOR/data/public/ravdess_16k/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-03-02-02-02-01.wav,moderate,1,actor_01,train,en,ravdess_statement_02,studio,controlled,Dogs are sitting by the door.,ravdess_emotion=happy; intensity=strong; repetition=02
03-01-04-01-01-01-01,C:/Project/AI-STRESS-DETECTOR/data/public/ravdess_16k/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-04-01-01-01-01.wav,moderate,1,actor_01,train,en,ravdess_statement_01,studio,controlled,Kids are talking by the door.,ravdess_emotion=sad; intensity=normal; repetition=01
03-01-04-01-01-02-01,C:/Project/AI-STRESS-DETECTOR/data/public/ravdess_16k/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-04-01-01-02-01.wav,moderate,1,actor_01,train,en,ravdess_statement_01,studio,controlled,Kids are talking by the door.,ravdess_emotion=sad; intensity=normal; repetition=02
03-01-04-01-02-01-01,C:/Project/AI-STRESS-DETECTOR/data/public/ravdess_16k/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-04-01-02-01-01.wav,moderate,1,actor_01,train,en,ravdess_statement_02,studio,controlled,Dogs are sitting by the door.,ravdess_emotion=sad; intensity=normal; repetition=01
03-01-04-01-02-02-01,C:/Project/AI-STRESS-DETECTOR/data/public/ravdess_16k/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-04-01-02-02-01.wav,moderate,1,actor_01,train,en,ravdess_statement_02,studio,controlled,Dogs are sitting by the door.,ravdess_emotion=sad; intensity=normal; repetition=02
03-01-04-02-01-01-01,C:/Project/AI-STRESS-DETECTOR/data/public/ravdess_16k/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-04-02-01-01-01.wav,high,2,actor_01,train,en,ravdess_statement_01,studio,controlled,Kids are talking by the door.,ravdess_emotion=sad; intensity=strong; repetition=01
03-01-04-02-01-02-01,C:/Project/AI-STRESS-DETECTOR/data/public/ravdess_16k/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-04-02-01-02-01.wav,high,2,actor_01,train,en,ravdess_statement_01,studio,controlled,Kids are talking by the door.,ravdess_emotion=sad; intensity=strong; repetition=02
03-01-04-02-02-01-01,C:/Project/AI-STRESS-DETECTOR/data/public/ravdess_16k/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-04-02-02-01-01.wav,high,2,actor_01,train,en,ravdess_statement_02,studio,controlled,Dogs are sitting by the door.,ravdess_emotion=sad; intensity=strong; repetition=01
03-01-04-02-02-02-01,C:/Project/AI-STRESS-DETECTOR/data/public/ravdess_16k/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-04-02-02-02-01.wav,high,2,actor_01,train,en,ravdess_statement_02,studio,controlled,Dogs are sitting by the door.,ravdess_emotion=sad; intensity=strong; repetition=02
