sample_id,audio_path,resolved_audio_path,stress_label,stress_level,speaker_id,split,language,assignment_id,recording_device,environment,transcript,notes,duration_sec,rms_mean,rms_std,rms_p90,zcr_mean,zcr_std,centroid_mean,centroid_std,bandwidth_mean,bandwidth_std,rolloff_mean,rolloff_std,flatness_mean,flatness_std,mfcc_01_mean,mfcc_02_mean,mfcc_03_mean,mfcc_04_mean,mfcc_05_mean,mfcc_06_mean,mfcc_07_mean,mfcc_08_mean,mfcc_09_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,mfcc_01_std,mfcc_02_std,mfcc_03_std,mfcc_04_std,mfcc_05_std,mfcc_06_std,mfcc_07_std,mfcc_08_std,mfcc_09_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,mfcc_13_std,mfcc_delta_01_mean,mfcc_delta_02_mean,mfcc_delta_03_mean,mfcc_delta_04_mean,mfcc_delta_05_mean,mfcc_delta_06_mean,mfcc_delta_07_mean,mfcc_delta_08_mean,mfcc_delta_09_mean,mfcc_delta_10_mean,mfcc_delta_11_mean,mfcc_delta_12_mean,mfcc_delta_13_mean,mfcc_delta_01_std,mfcc_delta_02_std,mfcc_delta_03_std,mfcc_delta_04_std,mfcc_delta_05_std,mfcc_delta_06_std,mfcc_delta_07_std,mfcc_delta_08_std,mfcc_delta_09_std,mfcc_delta_10_std,mfcc_delta_11_std,mfcc_delta_12_std,mfcc_delta_13_std,pitch_mean,pitch_std,pitch_range,pitched_frame_ratio,jitter_local,shimmer_local,pause_ratio,voiced_ratio,voiced_rms_mean,voiced_rms_std,speech_turns_per_sec,energy_drift
03-01-01-01-01-01-01,C:/Project/AI-STRESS-DETECTOR/data/public/ravdess_16k/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-01-01-01-01-01.wav,C:\Project\AI-STRESS-DETECTOR\data\public\ravdess_16k\Audio_Speech_Actors_01-24_16k\Actor_01\03-01-01-01-01-01-01.wav,low,0,actor_01,train,en,ravdess_statement_01,studio,controlled,Kids are talking by the door.,ravdess_emotion=neutral; intensity=normal; repetition=01,3.3033125,0.05185674875974655,0.08574892580509186,0.17566147446632385,0.07337704016137905,0.10339376226088984,1855.9601611081612,1461.4783391816145,1533.2986098828944,902.1427817720127,3467.8048780487807,2623.8972245219998,0.3894129693508148,0.3224877119064331,-52.310035705566406,7.649978160858154,1.7314509153366089,2.3579046726226807,1.2066224813461304,0.34821563959121704,0.41210848093032837,0.029399150982499123,0.3490353226661682,1.1128300428390503,0.6043123602867126,1.0481616258621216,0.07505002617835999,39.742774963378906,7.137362480163574,2.201111078262329,2.289027690887451,1.837024211883545,1.9063018560409546,1.748021125793457,1.760684609413147,1.4375767707824707,1.2081263065338135,1.1292202472686768,1.1761181354522705,1.3668346405029297,-0.025216544046998024,-0.0014039365341886878,-0.003113612998276949,0.005348385777324438,0.0031324801966547966,-0.0020657326094806194,0.004091201815754175,0.0016522218938916922,0.0007374482811428607,0.0014818391064181924,0.0025858806911855936,0.00033586708013899624,0.001619903021492064,7.4528069496154785,1.338822841644287,0.9625519514083862,0.7412182092666626,0.7120152711868286,0.685907244682312,0.6757343411445618,0.6135156154632568,0.5614781379699707,0.543306827545166,0.5202034115791321,0.4801420569419861,0.4516882598400116,145.25136547531193,54.26322678052783,265.16007532956684,0.2073170731707317,0.22471871986442307,0.24141016602516174,0.6189024390243902,0.38109756097560976,0.13455456495285034,0.09072944521903992,0.30272642990937126,-0.008779879659414291
03-01-01-01-01-02-01,C:/Project/AI-STRESS-DETECTOR/data/public/ravdess_16k/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-01-01-01-02-01.wav,C:\Project\AI-STRESS-DETECTOR\data\public\ravdess_16k\Audio_Speech_Actors_01-24_16k\Actor_01\03-01-01-01-01-02-01.wav,low,0,actor_01,train,en,ravdess_statement_01,studio,controlled,Kids are talking by the door.,ravdess_emotion=neutral; intensity=normal; repetition=02,3.3366875,0.04635808244347572,0.07757642865180969,0.15699200332164764,0.06857505208805144,0.08326222627649076,2050.051677153475,1316.2528917656377,1715.4883450611114,770.2163942544136,3909.156626506024,2408.7847282466737,0.45783719420433044,0.31644970178604126,-48.99166488647461,7.482277870178223,1.3807992935180664,2.6655099391937256,0.8680830597877502,0.3603920340538025,0.26447874307632446,-0.30949515104293823,0.14349199831485748,0.9531999826431274,0.4081740379333496,0.6862137317657471,-0.1342565268278122,35.64109802246094,6.939535617828369,2.1193313598632812,2.1805684566497803,1.8534518480300903,1.6024678945541382,1.619374394416809,1.632690191268921,1.1926649808883667,1.2085009813308716,0.9721501469612122,1.151012659072876,1.2630707025527954,0.11888633668422699,-0.007219945080578327,-0.007171169854700565,-0.007099378388375044,-0.006998448632657528,-0.006874669808894396,-0.006718359887599945,-0.006531410850584507,-0.006359298713505268,-0.006180405616760254,-0.005933678243309259,-0.005612237378954887,-0.005226819775998592,8.840141296386719,1.4522494077682495,0.9537068605422974,0.7309187054634094,0.7185423374176025,0.654923677444458,0.6037470102310181,0.580612301826477,0.5948616862297058,0.5897183418273926,0.5138772130012512,0.526885986328125,0.5005113482475281,135.5416406695185,32.70775183040475,150.74244751664108,0.2289156626506024,0.10915812878868371,0.239003524184227,0.6234939759036144,0.37650602409638556,0.12123650312423706,0.08352901041507721,0.8990952853690973,-0.010813456028699875
03-01-01-01-02-01-01,C:/Project/AI-STRESS-DETECTOR/data/public/ravdess_16k/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-01-01-02-01-01.wav,C:\Project\AI-STRESS-DETECTOR\data\public\ravdess_16k\Audio_Speech_Actors_01-24_16k\Actor_01\03-01-01-01-02-01-01.wav,low,0,actor_01,train,en,ravdess_statement_02,studio,controlled,Dogs are sitting by the door.,ravdess_emotion=neutral; intensity=normal; repetition=01,3.2699375,0.04552793130278587,0.07416170835494995,0.15010778605937958,0.06841719683824946,0.10417943044612503,2021.7942341351122,1379.5636910712678,1664.1133334579513,821.3746567036821,3835.076923076923,2518.565723139888,0.4374774098396301,0.32619738578796387,-52.16946029663086,7.8744049072265625,1.4740709066390991,2.334850549697876,0.7753759622573853,0.4562872648239136,0.19607262313365936,-0.21360816061496735,0.09973172843456268,0.913316011428833,0.311391681432724,0.8524472117424011,-0.05679098144173622,36.59073257446289,7.4178853034973145,2.615682363510132,2.112208843231201,2.02158260345459,1.736340880393982,1.7033191919326782,1.61249577999115,1.3167539834976196,1.3133798837661743,1.0126374959945679,1.1558622121810913,1.1940490007400513,-0.0033705844543874264,-0.006768534891307354,0.0020539702381938696,0.0020573337096720934,0.0017810410354286432,0.0073028020560741425,0.004767104052007198,0.004047739319503307,0.004395881202071905,-0.007267149630934,-0.008013748563826084,-0.0021849367767572403,-0.00037870847154408693,8.750490188598633,1.3748605251312256,0.9770129919052124,0.7488665580749512,0.7481168508529663,0.7122039198875427,0.7032161355018616,0.6701924204826355,0.5767614245414734,0.5752948522567749,0.5822752714157104,0.5432207584381104,0.46083563566207886,142.4960551075142,52.37360600915775,196.7914438502674,0.23384615384615384,0.17450699792302188,0.1937498152256012,0.6215384615384616,0.37846153846153846,0.11918860673904419,0.07611756771802902,0.30581624266518853,-0.02003217488527298
03-01-01-01-02-02-01,C:/Project/AI-STRESS-DETECTOR/data/public/ravdess_16k/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-01-01-02-02-01.wav,C:\Project\AI-STRESS-DETECTOR\data\public\ravdess_16k\Audio_Speech_Actors_01-24_16k\Actor_01\03-01-01-01-02-02-01.wav,low,0,actor_01,train,en,ravdess_statement_02,studio,controlled,Dogs are sitting by the door.,ravdess_emotion=neutral; intensity=normal; repetition=02,3.169875,0.0397321917116642,0.06788778305053711,0.12116722762584686,0.07889565182798265,0.10294337004113288,2089.2144986629824,1257.1167552400061,1770.7900753993515,734.8129835175336,4064.7619047619046,2316.6547153805172,0.4717121422290802,0.30240190029144287,-48.81113052368164,8.1229829788208,1.4109615087509155,2.1109495162963867,0.7309449911117554,0.506933331489563,-0.02478993684053421,-0.3699742257595062,0.035229988396167755,1.0166209936141968,0.4621536433696747,0.7206214666366577,-0.1295383721590042,32.817710876464844,6.847721099853516,2.519810676574707,2.191533327102661,1.7502954006195068,1.4618148803710938,1.653052568435669,1.5157556533813477,1.265488862991333,1.1406768560409546,0.901910126209259,0.970047116279602,1.1195123195648193,-0.10432370752096176,-0.006065304856747389,0.011289117857813835,-0.008855819702148438,-0.00840326864272356,0.0029595831874758005,3.5595516237663105e-05,0.004674684256315231,-0.0021865293383598328,0.003807508386671543,0.0015180270420387387,0.0002511497586965561,-0.00011009734589606524,7.418975353240967,1.4632455110549927,0.9006312489509583,0.6481631994247437,0.6669873595237732,0.6542636752128601,0.6146323084831238,0.571394145488739,0.5098407864570618,0.5517653822898865,0.5015531778335571,0.48651963472366333,0.4843195080757141,133.70869840576083,44.8781112961685,227.76518014613254,0.20952380952380953,0.16930144292146992,0.204429492354393,0.6253968253968254,0.3746031746031746,0.10498606413602829,0.07408422976732254,0.31546985291218105,-0.019407013431191444
03-01-02-01-01-01-01,C:/Project/AI-STRESS-DETECTOR/data/public/ravdess_16k/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-02-01-01-01-01.wav,C:\Project\AI-STRESS-DETECTOR\data\public\ravdess_16k\Audio_Speech_Actors_01-24_16k\Actor_01\03-01-02-01-01-01-01.wav,low,0,actor_01,train,en,ravdess_statement_01,studio,controlled,Kids are talking by the door.,ravdess_emotion=calm; intensity=normal; repetition=01,3.536875,0.05963410064578056,0.09677393734455109,0.19670486450195312,0.07301634768740031,0.11112446285363921,1873.439583373049,1391.1666972035166,1587.5591291240016,839.9339170626837,3539.8863636363635,2545.9343678242367,0.4070858657360077,0.32274940609931946,-47.572444915771484,8.051787376403809,1.8522647619247437,2.3551621437072754,1.0586133003234863,0.43507394194602966,0.2394106239080429,0.15037988126277924,0.0062294332310557365,1.0458282232284546,0.4805585741996765,0.8741182684898376,-0.008280223235487938,38.01688766479492,7.283892631530762,2.547874927520752,2.208662748336792,1.9713993072509766,1.794545292854309,1.8518089056015015,1.5453112125396729,1.5055384635925293,1.3729844093322754,1.1774851083755493,1.175870418548584,1.3784842491149902,-0.05325186252593994,0.007148677483201027,0.015669265761971474,-0.010827932506799698,-0.010277747176587582,0.003568231128156185,-0.007584318518638611,-0.0009797222446650267,0.0023503524716943502,0.0025410219095647335,-0.0005883174599148333,0.0018058039713650942,-0.00026888062711805105,9.798195838928223,1.3890568017959595,0.9678976535797119,0.8489950299263,0.7951187491416931,0.6934724450111389,0.6857450008392334,0.6453829407691956,0.6346198320388794,0.6546469926834106,0.6142444610595703,0.5477819442749023,0.5441402196884155,156.07717913206116,50.2318891644546,195.03047351148618,0.23579545454545456,0.1283798036324215,0.22093257308006287,0.5738636363636364,0.42613636363636365,0.13832010328769684,0.10570188611745834,0.8482063968899098,0.004938185214996338
03-01-02-01-01-02-01,C:/Project/AI-STRESS-DETECTOR/data/public/ravdess_16k/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-02-01-01-02-01.wav,C:\Project\AI-STRESS-DETECTOR\data\public\ravdess_16k\Audio_Speech_Actors_01-24_16k\Actor_01\03-01-02-01-01-02-01.wav,low,0,actor_01,train,en,ravdess_statement_01,studio,controlled,Kids are talking by the door.,ravdess_emotion=calm; intensity=normal; repetition=02,3.603625,0.050858672708272934,0.08056061714887619,0.13626889884471893,0.05480180899175311,0.08171064742443741,1492.31142909981,1360.1698828749682,1341.5824497628664,880.8637490860698,2810.8379888268155,2544.95818176581,0.3242233097553253,0.32106494903564453,-52.70851135253906,9.00017261505127,1.7896827459335327,2.424725294113159,1.41448974609375,0.571742832660675,0.2656420171260834,0.43800821900367737,0.362148642539978,1.249851107597351,0.740480363368988,0.9297794103622437,0.1827520877122879,41.458797454833984,7.64451789855957,2.702134609222412,1.9133726358413696,1.909293293952942,1.6202466487884521,1.9304461479187012,1.5190956592559814,1.4836403131484985,1.3354514837265015,1.2014800310134888,1.110884666442871,1.4409352540969849,0.12016115337610245,0.0008345209644176066,-0.0019422383047640324,0.0011172464583069086,0.000605400709901005,-0.0004901572829112411,-0.001112853642553091,-0.000971724686678499,-0.002421793295070529,-0.0032723648473620415,-0.003564713755622506,-0.004685922991484404,-0.00467495433986187,8.794610977172852,1.2842131853103638,0.9526162147521973,0.6502384543418884,0.6988884210586548,0.5944527983665466,0.6064329743385315,0.5527943968772888,0.5389599204063416,0.5846308469772339,0.5716505646705627,0.5028522610664368,0.4254441559314728,127.00950156096792,46.798213348508995,263.07000642260755,0.22905027932960895,0.13739064414114527,0.18659594655036926,0.547486033519553,0.45251396648044695,0.11113077402114868,0.08772403746843338,0.8324950570605987,-0.013754542917013168
03-01-02-01-02-01-01,C:/Project/AI-STRESS-DETECTOR/data/public/ravdess_16k/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-02-01-02-01-01.wav,C:\Project\AI-STRESS-DETECTOR\data\public\ravdess_16k\Audio_Speech_Actors_01-24_16k\Actor_01\03-01-02-01-02-01-01.wav,low,0,actor_01,train,en,ravdess_statement_02,studio,controlled,Dogs are sitting by the door.,ravdess_emotion=calm; intensity=normal; repetition=01,3.5035,0.0666750967502594,0.0916314348578453,0.20705215632915497,0.0779823121020943,0.13242021260277273,1876.5772719099386,1500.5138628436491,1500.4187545692466,838.5025151150434,3431.7241379310344,2598.6849932254318,0.37860554456710815,0.3246178925037384,-47.7230224609375,8.405877113342285,1.660169243812561,2.292175769805908,0.9330170750617981,0.6931132674217224,0.3421233892440796,0.17337296903133392,0.2201153039932251,0.9856825470924377,0.6966586709022522,0.8447649478912354,-0.11412739008665085,38.95079040527344,8.27799129486084,2.8012163639068604,2.2307236194610596,1.9070188999176025,1.6202397346496582,1.8925453424453735,1.4697588682174683,1.3588346242904663,1.4618630409240723,1.0114941596984863,1.0400476455688477,1.4204658269882202,-2.1923547421920375e-08,2.740443427740047e-09,-8.22133028322014e-09,-1.3702217138700234e-09,-1.7127771423375293e-09,-2.740443427740047e-09,-1.3702217138700234e-09,-2.740443427740047e-09,-1.3702217138700234e-09,-3.4255542846750586e-10,-6.851108569350117e-10,-1.3702217138700234e-09,-6.851108569350117e-10,8.999029159545898,1.5089850425720215,0.9492400884628296,0.6882618069648743,0.6866529583930969,0.6805638074874878,0.5894587635993958,0.6116136312484741,0.5715042352676392,0.5833684802055359,0.5320084095001221,0.5150747299194336,0.4670579731464386,129.075285981552,52.617476407635486,265.66791510611733,0.2557471264367816,0.14330082654327014,0.15485793352127075,0.5545977011494253,0.4454022988505747,0.14870136976242065,0.08193270117044449,0.2854288568574283,-0.016052592545747757
03-01-02-01-02-02-01,C:/Project/AI-STRESS-DETECTOR/data/public/ravdess_16k/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-02-01-02-02-01.wav,C:\Project\AI-STRESS-DETECTOR\data\public\ravdess_16k\Audio_Speech_Actors_01-24_16k\Actor_01\03-01-02-01-02-02-01.wav,low,0,actor_01,train,en,ravdess_statement_02,studio,controlled,Dogs are sitting by the door.,ravdess_emotion=calm; intensity=normal; repetition=02,3.4701875,0.055758219212293625,0.08028339594602585,0.18884845077991486,0.06972503723075806,0.10508059550152246,2086.2073827944473,1371.1123622535208,1698.926505927112,768.1624220952446,3923.8260869565215,2465.440049244946,0.4512685537338257,0.3246546983718872,-45.388816833496094,8.893800735473633,1.390684962272644,2.2853355407714844,0.8315645456314087,0.42001351714134216,-0.10706977546215057,-0.186979740858078,-0.009658868424594402,0.8041427731513977,0.5550394058227539,0.7863953709602356,-0.2206827998161316,33.41495895385742,8.09602165222168,2.60166597366333,2.09983491897583,1.6899371147155762,1.3475421667099,1.6187293529510498,1.254197359085083,1.1050481796264648,1.3748592138290405,0.9071900248527527,0.9479624629020691,1.3197118043899536,0.0013169771991670132,0.009123670868575573,-0.008589481003582478,-0.006579092238098383,0.00045975015382282436,0.0008961879648268223,0.005122177768498659,-0.001399788772687316,-0.0016561044612899423,0.0050232866778969765,0.00027340269298292696,-0.005854315590113401,0.0005382811068557203,8.651267051696777,1.4208810329437256,0.9706385731697083,0.6602374315261841,0.6867099404335022,0.6219981908798218,0.6319563984870911,0.5707012414932251,0.5341231226921082,0.5324159860610962,0.5066530704498291,0.43566739559173584,0.4497511386871338,119.75577581914507,35.67805583354827,256.7901234567901,0.25217391304347825,0.07344355662311902,0.17179057002067566,0.5710144927536231,0.4289855072463768,0.1289643943309784,0.07505064457654953,0.2881688669560362,-0.017418034374713898
03-01-02-02-01-01-01,C:/Project/AI-STRESS-DETECTOR/data/public/ravdess_16k/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-02-02-01-01-01.wav,C:\Project\AI-STRESS-DETECTOR\data\public\ravdess_16k\Audio_Speech_Actors_01-24_16k\Actor_01\03-01-02-02-01-01-01.wav,moderate,1,actor_01,train,en,ravdess_statement_01,studio,controlled,Kids are talking by the door.,ravdess_emotion=calm; intensity=strong; repetition=01,3.70375,0.06489536166191101,0.08778217434883118,0.17531892657279968,0.055280865206494494,0.08346890076884853,1494.1448694189799,1361.180228192865,1345.2829104785837,865.0032497446273,2791.6304347826085,2512.89793611571,0.32516711950302124,0.317870557308197,-48.933712005615234,8.85659122467041,1.8833562135696411,2.3991589546203613,1.3280309438705444,0.5220009684562683,0.24351687729358673,0.5561959743499756,0.3958476483821869,1.0512903928756714,0.9472175240516663,0.8453193306922913,0.1909414827823639,42.31576919555664,7.46741247177124,2.6331043243408203,2.0975537300109863,2.024176836013794,1.6117780208587646,1.8961126804351807,1.2864713668823242,1.3432555198669434,1.2334944009780884,1.0140420198440552,0.9686319231987,1.2018539905548096,-0.05353960767388344,-0.01163220964372158,-0.007698921952396631,0.013984269462525845,0.020610326901078224,-0.01016924623399973,0.0007510207942686975,0.006369035691022873,0.002758187474682927,0.006447724532335997,0.002623136853799224,-0.001746447174809873,0.002818490844219923,9.086725234985352,1.2848026752471924,0.933179497718811,0.740973174571991,0.7849023342132568,0.6136276125907898,0.6474947333335876,0.5978965163230896,0.5384506583213806,0.4884255826473236,0.5051211714744568,0.4724861681461334,0.47891882061958313,124.65543014577574,53.721439425472816,261.98830409356725,0.1983695652173913,0.1122911510898484,0.16420438885688782,0.5271739130434783,0.47282608695652173,0.13614948093891144,0.08159568905830383,0.26999662504218697,0.0014237836003303528
03-01-02-02-01-02-01,C:/Project/AI-STRESS-DETECTOR/data/public/ravdess_16k/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-02-02-01-02-01.wav,C:\Project\AI-STRESS-DETECTOR\data\public\ravdess_16k\Audio_Speech_Actors_01-24_16k\Actor_01\03-01-02-02-01-02-01.wav,moderate,1,actor_01,train,en,ravdess_statement_01,studio,controlled,Kids are talking by the door.,ravdess_emotion=calm; intensity=strong; repetition=02,4.004,0.05675029382109642,0.08021155744791031,0.1634344756603241,0.08425586579514112,0.1367446302104792,1867.391120442446,1421.5752985183055,1531.1318524373366,786.7579803322271,3382.613065326633,2509.343185405467,0.3963938057422638,0.3208443820476532,-44.35582733154297,8.583352088928223,1.374224066734314,2.274533271789551,0.9513514637947083,0.4397221505641937,0.01665913686156273,0.26401832699775696,0.24161668121814728,1.0279711484909058,0.7197369933128357,0.6088401079177856,-0.005374266300350428,37.593257904052734,7.734289646148682,2.871868371963501,1.989149570465088,2.0291526317596436,1.6305432319641113,1.8757492303848267,1.3890737295150757,1.3398679494857788,1.3447691202163696,1.0289182662963867,1.1143083572387695,1.2729699611663818,-0.10720125585794449,0.0057737696915864944,0.005742177367210388,0.005689632147550583,0.005616337992250919,0.005522563122212887,0.005408641882240772,0.005275003146380186,0.005122130736708641,0.004950586706399918,0.00476098945364356,0.004554016049951315,0.004330406431108713,8.439791679382324,1.3327281475067139,0.9741740226745605,0.7231149673461914,0.7173600196838379,0.6594246625900269,0.6800884008407593,0.5848898887634277,0.6055879592895508,0.5179576277732849,0.5210002660751343,0.516754686832428,0.49887189269065857,124.04519997216042,38.33358532742483,263.6015325670498,0.23366834170854273,0.11248533402645286,0.19265227019786835,0.507537688442211,0.49246231155778897,0.11319565027952194,0.08223993331193924,0.7492507492507493,0.006229761987924576
03-01-02-02-02-01-01,C:/Project/AI-STRESS-DETECTOR/data/public/ravdess_16k/Audio_Speech_Actors_01-24_16k/Actor_01/03-01-02-02-02-01-01.wav,C:\Project\AI-STRESS-DETECTOR\data\public\ravdess_16k\Audio_Speech_Actors_01-24_16k\Actor_01\03-01-02-02-02-01-01.wav,moderate,1,actor_01,train,en,ravdess_statement_02,studio,controlled,Dogs are sitting by the door.,ravdess_emotion=calm; intensity=strong; repetition=01,4.20425,0.09074491262435913,0.1051059365272522,0.25646305084228516,0.08988380041011619,0.1496194204384534,1978.614631361858,1500.875872887881,1554.5414076881254,749.6310389408231,3466.9856459330144,2555.701947561577,0.4006046950817108,0.3204735219478607,-38.360496520996094,8.543277740478516,1.8326151371002197,1.7494375705718994,0.9587554335594177,0.5037510395050049,-0.08330731838941574,0.0747753456234932,0.054526012390851974,0.9069773554801941,0.7266353368759155,0.5481298565864563,-0.290292352437973,36.472808837890625,8.595919609069824,2.669644832611084,2.0457019805908203,1.9314558506011963,1.5951687097549438,1.9911915063858032,1.2585505247116089,1.455639362335205,1.3336390256881714,0.9388245344161987,1.0149645805358887,1.3449445962905884,-0.001058085705153644,-0.009634430520236492,0.0016987905837595463,-0.0029517030343413353,-0.004733063280582428,0.0024339326191693544,0.007506498135626316,-0.0011632650857791305,0.006450006738305092,0.004880365449935198,-0.007266596890985966,-0.002413020934909582,0.0003573940193746239,8.220558166503906,1.3592599630355835,0.8502640724182129,0.7014415264129639,0.6915314793586731,0.6540572047233582,0.6477651596069336,0.5785520076751709,0.5695631504058838,0.5495291948318481,0.5092287659645081,0.4771418869495392,0.46507197618484497,139.6988234056534,61.00954002146567,249.06065485775633,0.3923444976076555,0.10978546163034962,0.16146895289421082,0.46650717703349287,0.5334928229665071,0.16907544434070587,0.0868656113743782,0.47570910388297555,0.0096200630068779
